LogReg results without classifier threshold tuning
                      Label	Prec	Rec 	F1  	Support
                    product	0.24	0.93	0.39	  133
                 production	0.73	1.00	0.84	   16
                     profit	0.16	0.82	0.27	   22
                    program	0.13	0.89	0.22	   57
                prohibition	0.30	0.90	0.45	   71
                projections	0.22	0.93	0.36	   70
            promissory note	0.18	0.91	0.31	   32
                   property	0.39	0.96	0.56	 1832
                proprietary	0.15	0.88	0.25	   86
                  proration	0.25	0.93	0.40	   41
                prosecution	0.21	0.92	0.34	   12
                 prospectus	0.32	0.85	0.47	   66
                 protection	0.25	0.88	0.39	  165
                  provision	0.11	0.88	0.20	  725
                      proxy	0.33	0.92	0.49	   38
                     public	0.24	0.92	0.39	  256
                  publicity	0.40	0.97	0.56	  250
                   purchase	0.30	0.96	0.46	  855
                  purchaser	0.35	0.96	0.51	  275
                    purpose	0.38	0.91	0.54	  474
                        put	0.39	1.00	0.56	   21
              qualification	0.23	0.91	0.37	  337
                    quality	0.34	0.89	0.49	   46
                  quarterly	0.54	0.97	0.69	  138
            quiet enjoyment	0.75	1.00	0.86	   45
                    ranking	0.27	0.91	0.41	   35
                       rate	0.42	0.98	0.59	  799
               ratification	0.28	0.98	0.43	  229
                     rating	0.73	0.99	0.84	   86
              reaffirmation	0.30	0.95	0.45	  212
               reallocation	0.54	0.98	0.70	  181
                 reasonable	0.15	0.87	0.25	   47
             reasonableness	0.25	0.96	0.40	   70
                    recalls	0.65	1.00	0.79	   26
           recapitalization	0.18	0.87	0.29	   39
                    receipt	0.19	0.87	0.31	  104
                 receivable	0.34	0.98	0.50	  162
                   receiver	0.41	0.89	0.56	   27
                  recipient	0.31	0.81	0.45	   21
                   recitals	0.53	0.94	0.68	  106
           reclassification	0.17	0.93	0.28	   28
                     record	0.44	0.98	0.60	  815
                  recording	0.35	1.00	0.52	   81
                 recoupment	0.30	0.97	0.45	  115
                   recourse	0.34	0.96	0.50	   80
                   recovery	0.23	0.93	0.37	   76
                 redemption	0.35	0.93	0.51	  110
                  reduction	0.44	0.98	0.60	  244
                  reference	0.16	0.95	0.27	  218
                refinancing	0.35	0.94	0.51	   69
                    refunds	0.96	0.98	0.97	  261
                   register	0.73	0.99	0.84	  265
               registration	0.39	0.97	0.56	  970
                 regulation	0.22	0.93	0.35	  506
                 regulatory	0.21	0.87	0.34	  220
              reimbursement	0.37	0.96	0.53	  748
              reinstatement	0.70	0.98	0.82	  210
                       reit	0.46	1.00	0.63	   51
               relationship	0.21	0.94	0.35	  314
                    release	0.37	0.95	0.53	 1072
                   reliance	0.51	0.96	0.67	  592
                     relief	0.29	0.99	0.45	  288
                 relocation	0.57	0.95	0.71	   74
                     remedy	0.36	0.96	0.53	 1267
                 remittance	0.23	0.64	0.34	   14
                    removal	0.30	0.97	0.46	  156
                    renewal	0.28	0.91	0.43	  123
                       rent	0.33	0.95	0.49	  190
             reorganization	0.20	0.90	0.33	   49
                     repair	0.19	0.92	0.32	   53
                  repayment	0.33	0.93	0.48	  382
                replacement	0.48	0.98	0.65	  332
                     report	0.28	0.92	0.43	  583
                  reporting	0.19	0.88	0.31	  269
             representation	0.38	0.94	0.55	 1910
             representative	0.33	0.92	0.48	   87
                  repricing	0.43	0.98	0.60	   49
                 repurchase	0.25	0.88	0.39	   56
                    request	0.42	0.97	0.58	  429
                   required	0.14	0.84	0.24	  212
                     resale	0.24	0.89	0.38	   56
                 rescission	0.64	0.87	0.74	   87
                reservation	0.40	0.94	0.56	  229
                    reserve	0.28	0.94	0.43	  212
                resignation	0.34	0.95	0.50	  430
                 resolution	0.18	0.94	0.30	  296
             responsibility	0.22	0.90	0.36	  260
              restated note	0.20	0.50	0.29	    2
                restatement	0.25	0.95	0.40	  125
                restoration	0.23	0.92	0.37	   26
          restricted period	0.13	0.92	0.23	   26
                restriction	0.17	0.91	0.29	  954
                restrictive	0.17	0.93	0.28	  214
                  retainers	0.11	0.80	0.20	    5
                  retention	0.24	0.86	0.38	  102
                 retirement	0.24	0.96	0.39	  270
                     return	0.37	0.96	0.54	  530
                    revenue	0.06	0.72	0.10	   18
                     review	0.30	0.91	0.45	  216
                 revocation	0.43	0.93	0.58	  115
                     revoke	0.12	0.93	0.22	   14
                      right	0.31	0.92	0.46	 4256
                       risk	0.30	0.90	0.44	  105
                       role	0.73	0.96	0.83	   69
                   rollover	0.38	0.95	0.55	   22
                   rounding	0.63	0.96	0.76	   25
                    royalty	0.37	0.94	0.53	   52
                        rsu	0.18	0.91	0.30	  184
                       rule	0.12	0.87	0.21	  309
             safety matters	0.06	0.75	0.10	    4
                     salary	0.66	0.98	0.79	  853
                       sale	0.27	0.94	0.42	  853
                  sanctions	0.48	0.98	0.64	  323
                        sar	0.23	0.93	0.37	  106
             sarbanes-oxley	0.72	1.00	0.84	  115
               satisfaction	0.19	0.84	0.31	   32
                     saving	0.12	0.90	0.21	   78
                   schedule	0.19	0.90	0.31	  200
                      scope	0.05	0.56	0.09	   64
             search results	0.00	0.00	0.00	    0
                   searches	0.61	0.97	0.75	   78
                        sec	0.47	0.97	0.63	  236
                     second	0.08	0.78	0.15	   23
                    section	0.35	0.96	0.51	  328
             securitization	0.62	0.88	0.73	   17
                   security	0.24	0.93	0.39	 1804
                  selection	0.14	0.82	0.24	   90
                       sell	0.18	0.94	0.30	   33
                     seller	0.10	0.83	0.18	  102
                   seller’s	0.06	0.64	0.11	   25
                     senior	0.24	0.86	0.37	   72
               separability	0.04	0.75	0.07	   16
               separateness	0.47	0.94	0.63	   17
                 separation	0.19	0.89	0.31	  227
                    service	0.20	0.93	0.34	 1058
                   servicer	0.24	0.97	0.39	   58
                  servicing	0.32	0.91	0.47	   80
                    set-off	0.33	0.94	0.49	  233
                     setoff	0.46	0.97	0.62	  268
                 settlement	0.23	0.92	0.37	  394
               severability	0.77	0.99	0.87	 1851
                    several	0.48	0.96	0.64	  237
                  severance	0.17	0.91	0.29	  291
                      share	0.23	0.94	0.37	 1715
                shareholder	0.26	0.96	0.41	  305
                    sharing	0.44	0.97	0.60	  139
                      shell	0.29	1.00	0.44	   34
                       sick	0.12	0.87	0.20	   15
                       sign	0.22	0.92	0.35	   24
                    signage	0.59	0.91	0.72	   56
                  signature	0.09	0.92	0.16	  193
                    signing	0.33	0.86	0.48	   43
                       size	0.60	0.91	0.72	   23
                       sole	0.14	0.85	0.25	   27
               solicitation	0.40	0.97	0.57	  243
                   solvency	0.78	0.98	0.87	  450
             sophistication	0.14	0.86	0.24	   21
                    special	0.22	0.79	0.34	   97
                   specific	0.36	0.99	0.53	  336
             specifications	0.11	0.79	0.20	   14
                  specified	0.28	0.99	0.44	  103
                     splits	0.37	0.96	0.53	  102
          stability testing	1.00	1.00	1.00	    3
                   standard	0.19	0.84	0.32	   69
                      state	0.21	0.84	0.34	   61
                  statement	0.43	0.97	0.59	 1303
                     status	0.22	0.92	0.36	  759
                    statute	0.25	0.84	0.38	   31
                       stay	0.63	0.99	0.77	   80
                      stock	0.22	0.95	0.36	 1817
                stockholder	0.33	0.98	0.49	  447
                     stolen	0.26	0.97	0.41	   29
                    storage	0.30	0.84	0.44	   19
                  structure	0.19	0.84	0.31	  101
                subdivision	0.33	0.91	0.48	   23
                   sublease	0.08	0.60	0.14	   15
                 sublicense	0.31	0.75	0.44	   16
                 submission	0.17	0.96	0.28	  275
              subordination	0.36	0.96	0.52	  211
                subrogation	0.74	0.98	0.84	  321
               subscription	0.42	0.93	0.58	   27
                 subsequent	0.35	0.90	0.50	  150
                 subsidiary	0.41	0.96	0.58	  803
               substitution	0.35	0.91	0.51	   45
                 succession	0.06	0.80	0.12	   25
                  successor	0.50	0.98	0.66	 1908
                sufficiency	0.18	0.78	0.29	   27
                       suit	0.14	0.98	0.25	   42
                 supplement	0.13	0.83	0.22	   47
          supplemental hvac	0.86	1.00	0.92	    6
                     supply	0.14	0.69	0.23	   32
                    support	0.49	0.92	0.64	   90
               surety bonds	1.00	1.00	1.00	    1
                  surrender	0.29	0.85	0.43	   59
                   survival	0.67	0.98	0.79	 1708
                 suspension	0.45	0.95	0.61	  140
                       swap	0.64	0.96	0.77	   98
                syndication	0.21	0.95	0.34	   37
                     system	0.19	0.80	0.30	   30
                     taking	0.36	0.82	0.50	   40
                     tandem	0.41	0.96	0.57	   26
                     target	0.15	0.90	0.26	   40
                        tax	0.29	0.96	0.44	 1369
                   taxation	0.05	0.47	0.09	   15
                      taxes	0.47	0.98	0.64	 2053
                  technical	0.48	0.87	0.62	   15
          temporary housing	0.25	0.50	0.33	    2
                     tenant	0.12	0.85	0.21	  111
         tenant’s architect	0.00	0.00	0.00	    0
                       term	0.27	0.92	0.42	 2714
                termination	0.39	0.95	0.55	 3696
                       test	0.27	0.81	0.41	   26
                      third	0.26	0.93	0.40	  611
        third-party vendors	0.83	1.00	0.91	    5
                       time	0.14	0.90	0.24	  396
                     timing	0.13	0.84	0.23	  258
                      title	0.34	0.95	0.51	  789
                    tolling	0.41	0.92	0.56	   26
                      total	0.23	0.95	0.37	  100
              trade secrets	0.19	0.92	0.32	   72
                  trademark	0.14	0.91	0.25	   74
                    trading	0.55	0.97	0.70	  197
                    tranche	0.31	0.94	0.46	   17
                transaction	0.37	0.94	0.53	  914
                   transfer	0.24	0.93	0.38	 1075
            transferability	0.24	0.96	0.38	  282
                 transferee	0.14	0.88	0.25	   34
                 transition	0.18	0.81	0.30	   58
                     travel	0.07	0.87	0.12	   15
              trial by jury	0.10	0.98	0.18	   96
                       true	0.10	0.89	0.18	   55
                      trust	0.30	0.97	0.45	  149
                    trustee	0.26	0.96	0.41	   81
                       type	0.18	0.90	0.30	  101
                        ucc	0.22	0.99	0.36	   69
              unconditional	0.26	1.00	0.41	   34
              understanding	0.08	0.85	0.15	   62
                undertaking	0.46	0.78	0.58	   27
          undisclosed event	0.69	1.00	0.82	  109
                   unfunded	0.38	0.98	0.54	  102
                       unit	0.22	0.95	0.35	  569
                  unsecured	0.22	0.99	0.36	   69
                     update	0.42	0.85	0.56	   26
                    upfront	0.36	0.93	0.52	   46
                        usa	0.45	0.99	0.61	  273
                      usage	0.37	0.91	0.53	   56
                        use	0.46	0.95	0.62	 1011
                      usury	0.35	0.99	0.52	   80
                    utility	0.43	0.91	0.58	   68
                   vacation	0.64	0.99	0.78	  325
                   validity	0.11	0.90	0.19	  240
                  valuation	0.26	0.94	0.41	   36
                      value	0.26	0.95	0.41	  103
                    vehicle	0.51	0.96	0.66	   49
                    venture	0.18	0.95	0.30	   57
                      venue	0.20	0.96	0.33	  588
               verification	0.56	0.89	0.69	   35
                    vesting	0.27	0.94	0.42	  835
            vice presidents	0.56	0.45	0.50	   11
                  violation	0.17	0.91	0.29	   96
                 visitation	0.25	0.97	0.39	   34
                  voluntary	0.24	0.95	0.38	  397
                       vote	0.16	0.92	0.27	   13
                     voting	0.25	0.97	0.39	  268
                     waiver	0.54	0.96	0.70	 4334
                    warrant	0.29	0.95	0.45	  362
                   warranty	0.38	0.95	0.54	 1421
                    welfare	0.18	0.94	0.30	   66
              whistleblower	0.09	0.91	0.16	   11
                 withdrawal	0.61	0.95	0.75	  130
                withholding	0.59	0.99	0.74	 1249
                    witness	0.72	1.00	0.84	   26
                       work	0.19	0.92	0.31	   99
                       year	0.40	0.96	0.56	  208
Macro Avg. Rec: 0.91
Macro Avg. Prec: 0.32
Macro F1: 0.45

Micro Avg. Rec: 0.94
Micro Avg. Prec: 0.29
Micro F1: 0.45


LogReg results with classifier threshold tuning
                      Label	Prec	Rec 	F1  	Support
                  abatement	0.59	0.94	0.73	   17
                   absolute	0.87	0.97	0.91	  172
               acceleration	0.40	0.90	0.55	  214
                 acceptance	0.43	0.85	0.57	  280
                     access	0.52	0.86	0.65	  317
                    account	0.58	0.88	0.70	 1055
                accountants	0.89	0.96	0.93	  141
                 accounting	0.60	0.92	0.73	  472
                    accrued	0.33	0.85	0.48	  103
                   accuracy	0.34	0.92	0.50	  119
            acknowledgement	0.25	0.75	0.38	  304
             acknowledgment	0.38	0.77	0.50	  440
                acquisition	0.41	0.85	0.56	  155
                        act	0.67	0.91	0.77	 1070
                     action	0.28	0.74	0.41	  500
                   activity	0.55	0.84	0.66	  236
                   addendum	0.81	0.93	0.86	   27
                 additional	0.38	0.69	0.49	 1088
                    address	0.84	0.96	0.90	  174
                  addresses	0.23	0.71	0.35	   34
                       adea	0.67	1.00	0.80	   33
                 adjustment	0.63	0.90	0.74	  694
             administration	0.50	0.90	0.64	  290
             administrative	0.60	0.92	0.72	  839
              administrator	0.31	0.86	0.45	  107
                  admission	0.62	0.95	0.75	  128
                   adoption	0.27	0.93	0.41	   14
                    advance	0.43	0.89	0.58	  298
                advancement	0.58	0.90	0.70	   63
                advertising	0.28	0.78	0.41	   23
                     advice	0.43	0.91	0.59	  129
                    advisor	0.35	0.79	0.48	   56
                  affiliate	0.78	0.91	0.84	  521
                affirmation	0.61	0.93	0.73	   89
                     agency	0.34	0.66	0.45	   79
                      agent	0.62	0.90	0.73	 1623
                aggregation	0.77	0.91	0.83	   11
                  agreement	0.66	0.66	0.66	 6347
                 allocation	0.61	0.89	0.72	  238
                  allowance	0.56	0.83	0.67	   78
                alterations	0.57	0.90	0.70	   41
                    amended	0.24	0.64	0.34	   58
                  amendment	0.66	0.87	0.75	 3481
               amortization	0.21	0.72	0.33	   18
                     amount	0.44	0.81	0.57	  401
                 and design	0.60	1.00	0.75	    3
              announcements	0.43	0.89	0.58	  132
                     annual	0.45	0.89	0.60	  537
               anti-bribery	0.17	0.73	0.28	   11
            anti-corruption	0.65	0.98	0.79	  316
             anti-terrorism	0.18	0.80	0.30	   25
                     appeal	0.41	0.96	0.58	   25
                   appendix	0.60	0.78	0.67	   76
              applicability	0.88	0.89	0.88	  115
                 applicable	0.16	0.74	0.27	  579
                application	0.73	0.90	0.80	  572
                appointment	0.61	0.89	0.73	  324
                  appraisal	0.53	0.88	0.66	   69
                   approval	0.48	0.85	0.61	  830
                   approved	0.53	1.00	0.69	    9
                arbitration	0.58	0.93	0.71	  387
                 arbitrator	0.52	1.00	0.68	   13
                arrangement	0.60	0.88	0.71	   95
                   arranger	0.41	0.89	0.56	   72
                 assessment	0.46	0.73	0.57	   67
                      asset	0.48	0.87	0.62	  575
                     assign	0.54	0.93	0.68	 1458
              assignability	0.20	0.80	0.32	  122
                   assignee	0.90	0.95	0.93	  173
                 assignment	0.55	0.85	0.67	 1891
                   assignor	0.95	1.00	0.97	  152
                 assistance	0.21	0.71	0.32	   59
        assistant secretary	0.25	1.00	0.40	    1
                 assumption	0.58	0.89	0.70	  225
                 assurances	0.73	0.92	0.81	  864
                    at-will	0.58	0.92	0.71	  124
                 attachment	0.50	0.81	0.62	   36
                   attorney	0.41	0.86	0.55	  185
           attorney-in-fact	0.52	0.91	0.67	   35
                 attorneys’	0.39	0.89	0.55	  241
                      audit	0.47	0.86	0.61	  176
                  authority	0.44	0.87	0.58	 1030
              authorization	0.47	0.87	0.61	 1085
                 authorized	0.49	0.84	0.62	  163
                  automatic	0.44	0.82	0.58	   74
                 automobile	0.62	0.91	0.74	   44
               availability	0.50	0.83	0.63	  130
                      award	0.36	0.81	0.49	 1434
                 background	0.64	0.69	0.67	   42
                    balance	0.39	0.65	0.48	   34
                       bank	0.59	0.91	0.72	  301
                    banking	0.80	0.95	0.87	   21
                 bankruptcy	0.67	0.92	0.78	  252
                       base	0.73	0.95	0.82	  907
                  basel iii	0.25	0.67	0.36	    3
                beneficiary	0.65	0.92	0.76	  859
                    benefit	0.47	0.82	0.60	 1542
                    binding	0.33	0.85	0.47	 1076
                blue pencil	0.16	0.64	0.25	   11
                   blue sky	0.92	1.00	0.96	   94
                      board	0.31	0.82	0.45	  175
                      bonus	0.69	0.95	0.80	  609
                    bonuses	0.17	0.80	0.28	   46
                       book	0.58	0.89	0.70	  446
                 book-entry	0.45	1.00	0.62	   10
                   borrower	0.58	0.88	0.70	  625
        borrower’s response	0.12	1.00	0.21	    3
                  borrowing	0.62	0.94	0.75	  654
                     breach	0.34	0.83	0.48	  317
                   breakage	0.44	0.90	0.59	   21
                     broker	0.68	0.97	0.80	  404
                  brokerage	0.22	0.82	0.34	   67
                     budget	0.66	0.94	0.78	   88
                   building	0.58	0.87	0.69	   39
                     burden	0.19	0.82	0.31	   17
                   business	0.58	0.86	0.69	  897
                      buyer	0.23	0.80	0.35	   50
                calculation	0.46	0.90	0.61	  185
                 california	0.17	0.80	0.29	   10
               cancellation	0.52	0.80	0.63	  103
                        cap	0.37	0.65	0.47	   20
                   capacity	0.38	0.85	0.53	  117
                    capital	0.62	0.91	0.73	  476
             capitalization	0.63	0.96	0.76	  414
                        car	0.29	0.79	0.42	   14
                       care	0.48	0.82	0.60	   49
                       cash	0.50	0.88	0.64	  532
                   casualty	0.53	0.92	0.67	   88
                      cause	0.47	0.92	0.62	  463
                    certain	0.56	0.76	0.64	 1544
                certificate	0.63	0.93	0.75	 1354
              certification	0.49	0.88	0.63	  101
                  cessation	0.83	0.68	0.75	   22
                     change	0.59	0.87	0.71	 2161
                     charge	0.66	0.91	0.77	  339
                    charter	0.18	0.69	0.28	   16
              chattel paper	0.72	0.98	0.83	   95
                     checks	0.65	0.87	0.74	   23
                      claim	0.44	0.84	0.58	  783
             classification	0.89	0.96	0.92	   90
                   clawback	0.61	0.93	0.73	  272
           clinical studies	0.56	1.00	0.72	    9
                    closing	0.61	0.87	0.72	  962
                      cobra	0.28	1.00	0.43	   35
                       code	0.46	0.91	0.61	  270
                 collateral	0.44	0.85	0.58	 1067
                 collection	0.54	0.93	0.69	  230
                combination	0.49	0.83	0.61	   42
               commencement	0.25	0.70	0.37	   67
                 commission	0.31	0.74	0.44	   90
                 commitment	0.48	0.89	0.62	  787
                  committee	0.34	0.89	0.49	  295
                common area	0.64	0.94	0.76	   17
              communication	0.75	0.90	0.82	  248
                    company	0.45	0.73	0.56	 1363
         company’s response	0.25	1.00	0.40	    2
               compensation	0.29	0.73	0.42	  780
                competition	0.23	0.53	0.32	   17
                   complete	0.23	0.82	0.36	  175
               completeness	0.38	0.92	0.54	   12
                 completion	0.66	0.75	0.70	   36
                 compliance	0.57	0.83	0.67	 2334
                computation	0.73	0.97	0.83	  201
              computer line	0.67	1.00	0.80	    2
               condemnation	0.69	0.94	0.79	  161
                  condition	0.39	0.74	0.51	  898
                    conduct	0.62	0.90	0.74	  344
               confidential	0.39	0.88	0.54	  403
            confidentiality	0.53	0.89	0.67	  883
               confirmation	0.33	0.88	0.48	   95
                   conflict	0.61	0.92	0.73	  979
                    consent	0.46	0.83	0.59	 1574
              consequential	0.65	0.97	0.78	  192
              consideration	0.40	0.81	0.54	  255
              consolidation	0.46	0.90	0.61	  143
               construction	0.36	0.81	0.50	  630
                 consultant	0.30	0.54	0.39	   37
               consultation	0.40	0.85	0.55	   60
                 consulting	0.34	0.86	0.49	   64
                   contents	0.44	0.82	0.57	   22
                    contest	0.54	0.79	0.64	   24
               continuation	0.27	0.67	0.39	  107
                 continuing	0.32	0.79	0.45	  196
                   contract	0.51	0.86	0.64	  467
                 contractor	0.48	0.89	0.62	  148
               contribution	0.58	0.89	0.70	  295
                    control	0.59	0.88	0.71	 1051
                 conversion	0.63	0.92	0.75	  599
                 conveyance	0.28	0.68	0.39	   19
                cooperation	0.57	0.88	0.69	  521
                       copy	0.52	0.85	0.65	   26
                  copyright	0.36	0.94	0.52	   62
                  corporate	0.25	0.80	0.38	  431
                corporation	0.76	0.85	0.80	   26
      correction of defects	0.33	0.50	0.40	    2
       correction of errors	0.40	1.00	0.57	    4
                       cost	0.44	0.89	0.59	  813
                    counsel	0.43	0.88	0.58	  266
              counterclaims	0.74	0.94	0.83	   31
                counterpart	0.92	0.98	0.95	 2613
                   covenant	0.31	0.71	0.43	  856
                   coverage	0.79	0.92	0.85	  326
                   creation	0.58	0.79	0.67	   28
           credit inquiries	1.00	1.00	1.00	    6
                   creditor	0.47	0.94	0.63	   49
              cross-default	0.39	0.80	0.52	   30
                 cumulative	0.51	0.93	0.66	  397
                       cure	0.80	0.95	0.87	  220
                   currency	0.63	0.95	0.76	  212
                    current	0.71	0.89	0.79	   45
                  custodian	0.23	0.80	0.35	   15
                    custody	0.42	0.56	0.48	   18
                   customer	0.36	0.87	0.51	  143
                     damage	0.56	0.92	0.69	  362
                       data	0.80	0.91	0.85	  258
                       date	0.41	0.77	0.54	 1376
                        day	0.45	0.91	0.60	   89
                   deadline	0.96	0.92	0.94	   24
                      death	0.65	0.92	0.76	  697
                       debt	0.43	0.92	0.58	  298
                   decision	0.45	0.88	0.60	  156
                  deduction	0.48	0.91	0.63	  116
                       deed	0.58	0.90	0.70	   29
                    default	0.61	0.87	0.72	 1463
                    defense	0.50	0.90	0.64	  176
                   deferral	0.40	0.89	0.55	  167
                 deficiency	0.75	0.98	0.85	   56
                    defined	0.36	0.93	0.52	  325
                 definition	0.52	0.92	0.66	  568
                      delay	0.73	0.96	0.83	  312
                 delegation	0.75	0.95	0.84	  257
                  delisting	0.61	1.00	0.76	   17
                deliverable	0.67	0.67	0.67	   27
                   delivery	0.38	0.77	0.51	  908
                     demand	0.38	0.90	0.54	   49
              denominations	0.76	1.00	0.86	   28
                    deposit	0.56	0.91	0.70	  313
                 depository	0.41	0.89	0.57	   19
                description	0.68	0.70	0.69	   46
                designation	0.64	0.95	0.77	  383
                  destroyed	0.23	1.00	0.37	   13
                destruction	0.29	0.85	0.44	   27
              determination	0.38	0.89	0.53	  176
                development	0.60	0.89	0.72	  173
                  diligence	0.50	0.69	0.58	   32
                   dilution	0.72	0.81	0.76	   48
                   director	0.25	0.75	0.37	  169
                 disability	0.67	0.94	0.79	  663
              disagreements	0.81	1.00	0.90	   26
               disbursement	0.75	0.89	0.82	  131
                  discharge	0.49	0.76	0.60	   59
                 disclaimer	0.49	0.79	0.61	  118
                 disclosure	0.60	0.88	0.71	 1074
             discontinuance	0.81	1.00	0.89	   17
                   discount	0.79	0.90	0.84	   29
                 discretion	0.49	0.88	0.63	  102
                discussions	0.74	0.97	0.84	   33
                disposition	0.56	0.91	0.70	  217
                    dispute	0.36	0.86	0.51	  421
           disqualification	0.99	0.99	0.99	   85
                dissolution	0.40	0.84	0.54	   63
               distribution	0.42	0.81	0.55	  495
                   dividend	0.62	0.95	0.75	  663
                   document	0.44	0.78	0.56	 1460
                documentary	0.90	0.95	0.93	   59
              documentation	0.25	0.71	0.37	  128
                     dollar	0.32	0.75	0.44	   16
                   drafting	0.29	0.83	0.43	   53
                    drawing	0.80	0.95	0.86	   37
                        dtc	0.76	0.91	0.83	   32
                   duration	0.34	0.84	0.48	  146
                       duty	0.56	0.88	0.68	  954
                     earned	0.67	0.92	0.77	   13
              earnest money	0.37	0.77	0.50	   13
                    earning	0.57	0.93	0.71	   44
                     ebitda	0.36	0.86	0.51	   28
                     effect	0.33	0.68	0.45	 1893
              effectiveness	0.41	0.85	0.55	  564
                    efforts	0.40	0.88	0.55	  101
                   election	0.52	0.88	0.65	  356
                 electronic	0.49	0.94	0.65	  593
                eligibility	0.45	0.84	0.58	  282
                   eligible	0.31	0.80	0.44	  103
                  emergency	0.67	0.93	0.78	   15
                   employee	0.36	0.78	0.49	  751
                   employer	0.36	0.76	0.49	   72
                 employment	0.48	0.83	0.61	 1734
                encumbrance	0.20	0.66	0.31	   71
             enforceability	0.33	0.87	0.48	  430
                enforceable	0.22	0.84	0.35	   43
                enforcement	0.32	0.82	0.46	  514
                 engagement	0.63	0.89	0.74	   38
     enrollment requirement	1.00	1.00	1.00	    5
                     entire	0.80	0.96	0.87	 2452
                   entirety	0.21	0.76	0.33	   29
                     entity	0.65	0.89	0.75	   74
                      entry	0.43	0.78	0.56	   54
              environmental	0.72	0.95	0.82	  474
                      equal	0.93	0.95	0.94	   55
                  equipment	0.48	0.83	0.61	   95
                  equitable	0.21	0.90	0.34	  105
                     equity	0.48	0.86	0.61	  595
                      erisa	0.68	0.96	0.79	  434
                     escrow	0.45	0.91	0.60	  138
              establishment	0.35	0.65	0.46	   72
                     estate	0.28	0.70	0.40	   61
                   estoppel	0.65	0.91	0.76	   80
                       etc.	0.52	0.89	0.66	   28
                   evidence	0.69	0.96	0.81	  322
                examination	0.36	0.77	0.49	   31
                  exception	0.37	0.68	0.48	   66
                     excess	0.46	0.89	0.61	   57
                   exchange	0.43	0.86	0.57	  282
                  exclusion	0.66	0.72	0.69	   79
                  exclusive	0.24	0.75	0.37	  151
                exclusivity	0.39	0.67	0.49	   60
                exculpation	0.37	0.82	0.51	   56
                  execution	0.20	0.81	0.32	  612
                  executive	0.31	0.73	0.44	  267
                  exemption	0.67	0.94	0.79	   89
             exercisability	0.29	0.88	0.43	   81
                   exercise	0.58	0.90	0.70	 1023
                  existence	0.54	0.94	0.69	  666
                   existing	0.37	0.89	0.53	  177
            expansion space	0.00	0.00	0.00	    0
                    expense	0.77	0.92	0.84	 2629
                 experience	0.51	0.97	0.67	   77
                 expiration	0.42	0.82	0.56	  225
                  extension	0.55	0.88	0.67	  365
         extraordinary item	0.48	1.00	0.65	   14
                   facility	0.37	0.83	0.51	  172
                  facsimile	0.09	0.86	0.17	  125
          failure to comply	0.74	0.93	0.82	   15
         failure to deliver	0.92	0.97	0.94	   35
                       fair	0.33	0.72	0.46	   18
                      fatca	0.60	1.00	0.75	   78
                    federal	0.33	0.89	0.49	  103
                        fee	0.72	0.90	0.80	 2861
             fidelity bonds	0.12	1.00	0.21	    3
                       file	0.56	0.88	0.68	   48
                     filing	0.50	0.87	0.63	  557
                      final	0.31	0.80	0.45	  110
                  financial	0.71	0.91	0.80	 1405
                  financing	0.53	0.88	0.66	  218
         finra affiliations	0.33	1.00	0.50	    2
              finra matters	0.26	1.00	0.42	    5
                     firpta	0.40	0.94	0.57	   18
                      first	0.37	0.70	0.48	  113
                     fiscal	0.73	0.99	0.84	  211
                    fixture	0.26	0.81	0.39	   27
                      flood	0.60	0.98	0.74	   44
                forbearance	0.53	0.94	0.68	   18
                      force	0.47	0.92	0.62	  216
                  forecasts	0.36	0.89	0.52	   18
                foreclosure	0.61	0.81	0.69	   21
                    foreign	0.46	0.89	0.61	  188
                 forfeiture	0.36	0.85	0.51	  388
                       form	0.42	0.85	0.56	  462
                  formation	0.38	0.75	0.50	   64
                      forum	0.11	0.68	0.19	  119
    fourth quarter catch-up	0.40	1.00	0.57	    2
                 franchises	0.30	0.85	0.44	   26
       frequency of billing	1.00	1.00	1.00	    3
          fronting exposure	0.96	1.00	0.98	  131
                       full	0.28	0.80	0.41	  223
                       fund	0.49	0.85	0.62	  242
                    funding	0.60	0.91	0.72	  426
                       gaap	0.63	0.99	0.77	  150
                        gas	0.79	0.94	0.86	   16
                     gender	0.42	0.95	0.58	   83
                    general	0.30	0.52	0.38	 1459
                  generally	0.42	0.73	0.53	  686
     global safety database	0.06	1.00	0.11	    1
                      goals	0.27	0.86	0.41	   76
                       good	0.40	0.88	0.55	  553
                  governing	0.82	0.95	0.88	 3576
                 government	0.29	0.80	0.42	  104
               governmental	0.53	0.88	0.66	  511
                      grant	0.58	0.88	0.70	 1341
                    grantee	0.33	0.94	0.49	   33
                    grantor	0.53	1.00	0.69	   53
           gross misconduct	0.80	1.00	0.89	    4
                   gross-up	0.11	0.79	0.20	   19
              ground lessor	0.05	1.00	0.09	    1
                      group	0.56	0.60	0.58	   15
                  guarantee	0.36	0.83	0.50	  327
                  guarantor	0.37	0.84	0.51	  219
                   guaranty	0.45	0.81	0.58	  372
                 guidelines	0.33	0.56	0.42	   16
                  hazardous	0.34	0.80	0.47	   54
                    heading	0.81	0.97	0.88	  704
                     health	0.24	0.70	0.35	   60
                      hedge	0.58	0.91	0.71	   47
                    hedging	0.56	1.00	0.72	   67
                     holder	0.48	0.87	0.62	  129
                    holding	0.54	0.83	0.66	   92
